Maintainer username,Sponsorship amount in USD,REMARKS
AnasSarkiz,75,"Weekly scores: [1 (08/27-09/02)]"
ArnavK-09,550,"Weekly scores: [2 (08/27-09/02)]"
MustafaMulla29,200,"Weekly scores: [2 (08/27-09/02)]"
ShiboSoftwareDev,700,"Weekly scores: [2 (08/27-09/02)]"
baeoc,75,"Weekly scores: [1 (08/27-09/02)]"
pxlpal,75,"Weekly scores: [1 (08/27-09/02)]"
techmannih,75,"Weekly scores: [1 (08/27-09/02)]"
